,Title,Detail,new
10,주말에 비소식 있대서 불꽃축제....,"불꽃축제 보러 가려고 했는데 비소식 때문에 약간 고민되나요 ㅠㅠ
가기로 마음 먹으신 분들 다 가시나요??","주말에 비소식 있대서 불꽃축제.... 불꽃축제 보러 가려고 했는데 비소식 때문에 약간 고민되나요 ㅠㅠ
가기로 마음 먹으신 분들 다 가시나요??"
11,내일이 부산불꽃축제네요 식당예약이나 숙소예약 하신분들 계세요?,"남편이랑 불꽃축제때 사랑이 폭팔해서 사귀게 된 케이스에요.
그래서 저희 둘 한텐 부산 불꽃축제가 매우매우 소중한데요,
이번에 저도 임신했으니 (내일 25주) 테이블 예약하려다 실패하고
눌러 앉아있기로 했습니다.ㅋㅋㅋㅋㅋㅋㅋㅋ 2시쯤 가서 기다릴듯....
혹시 지금 오늘 당장 어디 예ㅇ약은 힘들겠죠?
식당이나 숙소 요금 껑충 뛰어올랐을까요??","내일이 부산불꽃축제네요 식당예약이나 숙소예약 하신분들 계세요? 남편이랑 불꽃축제때 사랑이 폭팔해서 사귀게 된 케이스에요.
그래서 저희 둘 한텐 부산 불꽃축제가 매우매우 소중한데요,
이번에 저도 임신했으니 (내일 25주) 테이블 예약하려다 실패하고
눌러 앉아있기로 했습니다.ㅋㅋㅋㅋㅋㅋㅋㅋ 2시쯤 가서 기다릴듯....
혹시 지금 오늘 당장 어디 예ㅇ약은 힘들겠죠?
식당이나 숙소 요금 껑충 뛰어올랐을까요??"
12,불꽃축제 용호동에서 본적있으신분~,"5살아이가 불꽃축제 너무보고싶다그래서
광안리는 무리일것같고 용호동 별빛공원이나 이기대쯤에서 보려고하는데 사람많을까요 ㅠㅠ?
신랑야간근무라 혼자데리고가야해서 사람에 치일까봐 걱정이네요
1회이후로한번도본적이없어서...
아이데리고 가볼만할까요 ? 혹시 용호동도 낮부터 자리잡고있어야할지...
가보신분도움부탁드려요","불꽃축제 용호동에서 본적있으신분~ 5살아이가 불꽃축제 너무보고싶다그래서
광안리는 무리일것같고 용호동 별빛공원이나 이기대쯤에서 보려고하는데 사람많을까요 ㅠㅠ?
신랑야간근무라 혼자데리고가야해서 사람에 치일까봐 걱정이네요
1회이후로한번도본적이없어서...
아이데리고 가볼만할까요 ? 혹시 용호동도 낮부터 자리잡고있어야할지...
가보신분도움부탁드려요"
13,불꽃축제 집에서 보이는 집에 사는 분들 늠나 부럽네요.. 크크.. 한강 지나가다보니 .. @_@,"불꽃축제같은거 사람많고 해서 진짜 싫다 생각했는데요~~
인스타에 또 올라오는 영상 보니
진짜 너무 이뻐서 실제 봤으면 좋았겠다 싶기도 하네요 ㅋㅋㅋ
근데 인파 생각하면
평생 안갈듯 ㅠㅠ","불꽃축제 집에서 보이는 집에 사는 분들 늠나 부럽네요.. 크크.. 한강 지나가다보니 .. @_@ 불꽃축제같은거 사람많고 해서 진짜 싫다 생각했는데요~~
인스타에 또 올라오는 영상 보니
진짜 너무 이뻐서 실제 봤으면 좋았겠다 싶기도 하네요 ㅋㅋㅋ
근데 인파 생각하면
평생 안갈듯 ㅠㅠ"
14,[무료 축제 공연] 경기도 문화예술축제,"이번주에 고양꽃전시관에서 저스트절크와 경서, 레베카 주연배우인 리사 출연하는 공연이 있어 정보 공유해봐요~
축하공연도 있지만 청소년들 공연도 있고, 체험 부스 같은 것들도 많아서 아직 날씨 좋으니 다녀오기 좋을 것 같아요!
공연예술 쪽 관심있으면 원데이 클래스도 15명 소규모로 무료로 진행되니 좋겠고,
케이팝 관심있는 친구들은 랜덤플레이댄스도 잼날거 같아요!
저희 아이도 여자 친구들은 케이팝 댄스 꽤 추던데~ 열심히 발산하고 집에 오는 길에 떡실신하면 딱 좋겠네요! ㅎㅎ
2023 경기문화예술교육주간11월 2~5일 열린다 - 고양신문
\""당신이 찾고 있는 것이 당신을 찾고 있다\""[고양신문] 경기문화재단은 2023 경기문화예술교육주간을 맞아 11월 2일(목)부터 5일(일)까지 나흘간 고양꽃전시관에서 를 연다. 슬로건 는 더 많은 사람과...
www.mygoyang.com
정보는 여기에도 있으니 참고하세요!!","[무료 축제 공연] 경기도 문화예술축제 이번주에 고양꽃전시관에서 저스트절크와 경서, 레베카 주연배우인 리사 출연하는 공연이 있어 정보 공유해봐요~
축하공연도 있지만 청소년들 공연도 있고, 체험 부스 같은 것들도 많아서 아직 날씨 좋으니 다녀오기 좋을 것 같아요!
공연예술 쪽 관심있으면 원데이 클래스도 15명 소규모로 무료로 진행되니 좋겠고,
케이팝 관심있는 친구들은 랜덤플레이댄스도 잼날거 같아요!
저희 아이도 여자 친구들은 케이팝 댄스 꽤 추던데~ 열심히 발산하고 집에 오는 길에 떡실신하면 딱 좋겠네요! ㅎㅎ
2023 경기문화예술교육주간11월 2~5일 열린다 - 고양신문
\""당신이 찾고 있는 것이 당신을 찾고 있다\""[고양신문] 경기문화재단은 2023 경기문화예술교육주간을 맞아 11월 2일(목)부터 5일(일)까지 나흘간 고양꽃전시관에서 를 연다. 슬로건 는 더 많은 사람과...
www.mygoyang.com
정보는 여기에도 있으니 참고하세요!!"
15,불꽃축제 같은거는,비 오면 취소될까요?,불꽃축제 같은거는 비 오면 취소될까요?
16,"아이를 위해 축제, 공연 관람.. 차로 1시간 거리 간다? 안 간다?","아이를 위해 저는 기꺼이 가는데..(가기로 했으면 저는 무조건 갑니다)
멀어서 안 가기도 하죠?
멀다고 안 가는 사람도 있죠?
가기 귀찮은건지..","아이를 위해 축제, 공연 관람.. 차로 1시간 거리 간다? 안 간다? 아이를 위해 저는 기꺼이 가는데..(가기로 했으면 저는 무조건 갑니다)
멀어서 안 가기도 하죠?
멀다고 안 가는 사람도 있죠?
가기 귀찮은건지.."
17,나주불꽃축제 다녀왔어요^^,"폭죽이 시원시원하게 터져서 기분전환 되더라구용 ㅋㅋㅋ짧고 굵은 불꽃구경 잘 봤
재생
7

나주불꽃축제 다녀왔어요^^
습니당 ㅎㅎ","나주불꽃축제 다녀왔어요^^ 폭죽이 시원시원하게 터져서 기분전환 되더라구용 ㅋㅋㅋ짧고 굵은 불꽃구경 잘 봤
재생
7

나주불꽃축제 다녀왔어요^^
습니당 ㅎㅎ"
18,고민하다가 축제다녀왔는데 ㅋㅋㅋ 주차부터 고생고생했네요,"ㅋㅋㅋ 애들 둘데리고 주차자리 찾는데만 20분소요....
행사장 갔더니 사람이 그냥 와 ...... 너무많아서 아무것도 못보고 못찍고 10분만에 나온정도요 ?
사진찍는걸 아무도 안기다려주는ㅋㅋㅋㅋㅋㅋ 그냥 앞으로 다 지나가시고 사람들이 진짜 너무 많아서 이건아냐 싶어서 바로 나왔어요
앞으로는 이른아침아니면 그냥 사진으로 봐야겠다싶더라구요
힘든 하루였어요","고민하다가 축제다녀왔는데 ㅋㅋㅋ 주차부터 고생고생했네요 ㅋㅋㅋ 애들 둘데리고 주차자리 찾는데만 20분소요....
행사장 갔더니 사람이 그냥 와 ...... 너무많아서 아무것도 못보고 못찍고 10분만에 나온정도요 ?
사진찍는걸 아무도 안기다려주는ㅋㅋㅋㅋㅋㅋ 그냥 앞으로 다 지나가시고 사람들이 진짜 너무 많아서 이건아냐 싶어서 바로 나왔어요
앞으로는 이른아침아니면 그냥 사진으로 봐야겠다싶더라구요
힘든 하루였어요"
19,문경 사과 축제 다녀오신 맘들 계세요??,문경 사과 축제 가면 볼거리 먹을거리 있을까요?? 가서 사과도 사고 가서 시간 좀 보내고 오려구요 ~검색해도 정보가 별로 없어서 다녀오신 맘님들 정보ㅜ부탁 드려요^^,문경 사과 축제 다녀오신 맘들 계세요?? 문경 사과 축제 가면 볼거리 먹을거리 있을까요?? 가서 사과도 사고 가서 시간 좀 보내고 오려구요 ~검색해도 정보가 별로 없어서 다녀오신 맘님들 정보ㅜ부탁 드려요^^
20,축제하면 가고싶으면서도 추자문제에 사람복잡한게 머리아파요 ㅜㅜ,"집근처에서 축제한다해도 겁이나서 못가요 ㅜㅜ 진짜 차막히는게 실시간으로 보이고 지역 커뮤니티에서 사람많다 주차만원이다 이런거 올라옴 궁금하면서도 축제전이나 한가한 아침에 후딱 다녀오는정도나 안가요 ...ㅎㅎ
다들 애들데리고 가실 엄두 나실까요 ? 전 무서워요 ㅋㅋㅋㅋ","축제하면 가고싶으면서도 추자문제에 사람복잡한게 머리아파요 ㅜㅜ 집근처에서 축제한다해도 겁이나서 못가요 ㅜㅜ 진짜 차막히는게 실시간으로 보이고 지역 커뮤니티에서 사람많다 주차만원이다 이런거 올라옴 궁금하면서도 축제전이나 한가한 아침에 후딱 다녀오는정도나 안가요 ...ㅎㅎ
다들 애들데리고 가실 엄두 나실까요 ? 전 무서워요 ㅋㅋㅋㅋ"
21,축제 많이 하네요~,"요새 축제 많이 하는데
아이들 데리고 가기가 쉽지 않네요 ㅎㅎ","축제 많이 하네요~ 요새 축제 많이 하는데
아이들 데리고 가기가 쉽지 않네요 ㅎㅎ"
22,축제축제,매우 열심히 진행해주었어요,축제축제 매우 열심히 진행해주었어요
23,서울 마술쇼 볼 수 있는 축제나 장소 추천 부탁드려요,서울에서 마술쇼 볼 수 있는 축제나 장소 있으면 추천 부탁드려요!! ^^,서울 마술쇼 볼 수 있는 축제나 장소 추천 부탁드려요 서울에서 마술쇼 볼 수 있는 축제나 장소 있으면 추천 부탁드려요!! ^^
24,100일아기 축제같은곳 장시간댈꼬가시나요??,"궁금합니다 3~4시간 차로 왕복3시간ㅜㅜ
첫째때는 위험해서 잘안나갔는데
둘째 101일이에요
첫째가 한시간반거리축제한다는것을알고와서
아침7시부터 시달리네요
남편은출근했고
유행하는바이러스많고
아기아픔 답이없을꺼같아요,,
하..,.넘 괴뢰워요
둘이일때는잘나갔는데
둘째가 너무어리니 외출했다 아플까봐 무섭네요","100일아기 축제같은곳 장시간댈꼬가시나요?? 궁금합니다 3~4시간 차로 왕복3시간ㅜㅜ
첫째때는 위험해서 잘안나갔는데
둘째 101일이에요
첫째가 한시간반거리축제한다는것을알고와서
아침7시부터 시달리네요
남편은출근했고
유행하는바이러스많고
아기아픔 답이없을꺼같아요,,
하..,.넘 괴뢰워요
둘이일때는잘나갔는데
둘째가 너무어리니 외출했다 아플까봐 무섭네요"
25,수제맥주축제랑 카카오 장바구니 이벤트해요!,"시간나심 한번 가보세요
상계중앙시장이예요~!!
카카오 장바구니 요즘 핫하네요~","수제맥주축제랑 카카오 장바구니 이벤트해요! 시간나심 한번 가보세요
상계중앙시장이예요~!!
카카오 장바구니 요즘 핫하네요~"
26,국화축제 방문,"곧 6개월 되는 아가인데 곧 지역에서 국화축제를 해서요,
아가 데리고 가도 될까요?
꽃가루 알러지라던지 괜찮을까 싶어서요~ 야외입니다~","국화축제 방문 곧 6개월 되는 아가인데 곧 지역에서 국화축제를 해서요,
아가 데리고 가도 될까요?
꽃가루 알러지라던지 괜찮을까 싶어서요~ 야외입니다~"
27,축제,"지역상관없이,
요즘 아이들데리고 가볼만한 축제있나요?","축제 지역상관없이,
요즘 아이들데리고 가볼만한 축제있나요?"
28,아이와 함께 김치 만들기 체험 할 수 있는 축제가 있대요~^^(15팀 선착순),"내일이랑 토요일에 문화제조창에서 김치 만들기 체험이 열린대요^^
1회당 15팀 선착순이라고 하니 참고하세요~^^
체험 일시 : 10월 27일 14시 30분 ~ 15시(30분)
10월 28일 16시 30분 ~ 17시(30분)
행사 장소 : 충청북도 청주시 문화제조창(광장)
체험 신청 링크 : https://forms.gle/VAiW2kMAbsvFU8po7","아이와 함께 김치 만들기 체험 할 수 있는 축제가 있대요~^^(15팀 선착순) 내일이랑 토요일에 문화제조창에서 김치 만들기 체험이 열린대요^^
1회당 15팀 선착순이라고 하니 참고하세요~^^
체험 일시 : 10월 27일 14시 30분 ~ 15시(30분)
10월 28일 16시 30분 ~ 17시(30분)
행사 장소 : 충청북도 청주시 문화제조창(광장)
체험 신청 링크 : https://forms.gle/VAiW2kMAbsvFU8po7"
29,문경새재 사과축제 펜션 1박 양도 (오늘 11시까지만!),,문경새재 사과축제 펜션 1박 양도 (오늘 11시까지만!) 
30,마산 국화 축제!,"축제는 28일부터라 되어있는데
내일 가도 구경 가능할까요? 오늘 사전검토 끝났단 기사를 봐서요~
그 주변 사시는 맘님들 알려주세요^^
못들어가게하려나요? ㅠㅠ","마산 국화 축제! 축제는 28일부터라 되어있는데
내일 가도 구경 가능할까요? 오늘 사전검토 끝났단 기사를 봐서요~
그 주변 사시는 맘님들 알려주세요^^
못들어가게하려나요? ㅠㅠ"
31,경남 농촌교육농장 말도보고 떡매치고.. 축제오세용~25일 (초전실내체육관 야외무대),"http://ssgh.iezweb.co.kr/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8
제1회 경남농촌교육농장 홍보 festival
제1회 경남농촌교육농장 홍보 festival
ssgh.iezweb.co.kr
안녕하세요 경남 18개 시군의 농촌교육농장에서
다양한 체험을 준비했습니다.
말과 토끼도 보고 떡메치고 맛도보고
천연염색, 도예, 원예, 곤충 등등
리플랫과 사이트 참고하셔서
가까이 사시는 분들 구경오셔요^^
사전예약운영하지만 비어있는곳은 현장접수도 가능하고 오후는 예약없이 운영됩니다^^","경남 농촌교육농장 말도보고 떡매치고.. 축제오세용~25일 (초전실내체육관 야외무대) http://ssgh.iezweb.co.kr/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8
제1회 경남농촌교육농장 홍보 festival
제1회 경남농촌교육농장 홍보 festival
ssgh.iezweb.co.kr
안녕하세요 경남 18개 시군의 농촌교육농장에서
다양한 체험을 준비했습니다.
말과 토끼도 보고 떡메치고 맛도보고
천연염색, 도예, 원예, 곤충 등등
리플랫과 사이트 참고하셔서
가까이 사시는 분들 구경오셔요^^
사전예약운영하지만 비어있는곳은 현장접수도 가능하고 오후는 예약없이 운영됩니다^^"
32,이번주 주말 대전에서 빵축제 열려요~,,이번주 주말 대전에서 빵축제 열려요~ 
